Site,Core_ID,Treatment,SampleID,Total_core_mass_pot_pie_pans_g,Additional_Wt_toRemove,sequence_valve,Picarro_method,Start_Date_Time,Stop_Date_Time,Time_Zone,Time_elapsed_h,TREATMENT_PHASE,Notes,Who,Ignore_Data
DWP,25,drought,D25,402.13,NA,15,Drought_20170724_dwp.seq,8/18/2017 12:15,8/18/2017 20:00,America/Los_Angeles,7.75,DROUGHT_INCUBATION,NA,APS,NA
DWP,21,drought,D21,503.06,10,3,Drought_20170724_dwp.seq,8/23/2017 10:00,8/23/2017 17:00,America/Los_Angeles,7,DROUGHT_SATURATION,NA,APS,NA
DWP,22,drought,D22,489.64,10,5,Drought_20170724_dwp.seq,8/23/2017 10:00,8/23/2017 17:00,America/Los_Angeles,7,DROUGHT_SATURATION,NA,APS,NA
DWP,23,drought,D23,467.3,10,1,Drought_20170724_dwp.seq,8/23/2017 10:00,8/23/2017 17:00,America/Los_Angeles,7,DROUGHT_SATURATION,NA,APS,NA
DWP,24,drought,D24,372.28,10,8,Drought_20170724_dwp.seq,8/23/2017 10:00,8/23/2017 17:00,America/Los_Angeles,7,DROUGHT_SATURATION,NA,APS,NA
DWP,25,drought,D25,402.04,10,15,Drought_20170724_dwp.seq,8/23/2017 10:00,8/23/2017 17:00,America/Los_Angeles,7,DROUGHT_SATURATION,NA,APS,NA
DWP,16,field_moist,D16,604.27,NA,NA,Saturation_II_3soils_20170617_dwp_LONG.seq,6/23/2017 16:46,6/24/2017 14:53,America/Los_Angeles,22.11666667,FIELD_MOIST_INCUBATION,Core D16 is left our of the experiment as no pore water could be extracted from it,TRC,Y
DWP,17,field_moist,D17,422.85,NA,5,Saturation_II_3soils_20170617_dwp_LONG.seq,6/23/2017 16:46,6/24/2017 14:53,America/Los_Angeles,22.11666667,FIELD_MOIST_INCUBATION,NA,TRC,NA
DWP,18,field_moist,D18,567.14,NA,7,Saturation_II_3soils_20170617_dwp_LONG.seq,6/23/2017 16:46,6/24/2017 14:53,America/Los_Angeles,22.11666667,FIELD_MOIST_INCUBATION,NA,TRC,NA
DWP,19,field_moist,D19,577.05,NA,8,Saturation_II_3soils_20170617_dwp_LONG.seq,6/23/2017 16:46,6/24/2017 14:53,America/Los_Angeles,22.11666667,FIELD_MOIST_INCUBATION,NA,TRC,NA
DWP,20,field_moist,D20,491.47,NA,15,Saturation_II_3soils_20170617_dwp_LONG.seq,6/23/2017 16:46,6/24/2017 14:53,America/Los_Angeles,22.11666667,FIELD_MOIST_INCUBATION,NA,TRC,NA
DWP,16,field_moist,D16,604.42,NA,3,Saturation_II_3soils_20170617_dwp.seq,6/27/2017 17:36,6/28/2017 12:50,America/Los_Angeles,19.23333333,FIELD_MOIST_INCUBATION,NA,TRC,Y
DWP,17,field_moist,D17,423.02,NA,5,Saturation_II_3soils_20170617_dwp.seq,6/27/2017 17:36,6/28/2017 12:50,America/Los_Angeles,19.23333333,FIELD_MOIST_INCUBATION,NA,TRC,NA
DWP,18,field_moist,D18,567.59,NA,7,Saturation_II_3soils_20170617_dwp.seq,6/27/2017 17:36,6/28/2017 12:50,America/Los_Angeles,19.23333333,FIELD_MOIST_INCUBATION,NA,TRC,NA
DWP,19,field_moist,D19,577.12,NA,8,Saturation_II_3soils_20170617_dwp.seq,6/27/2017 17:36,6/28/2017 12:50,America/Los_Angeles,19.23333333,FIELD_MOIST_INCUBATION,NA,TRC,NA
DWP,20,field_moist,D20,491.48,NA,15,Saturation_II_3soils_20170617_dwp.seq,6/27/2017 17:36,6/28/2017 12:50,America/Los_Angeles,19.23333333,FIELD_MOIST_INCUBATION,NA,TRC,NA
DWP,16,field_moist,D16,604.4,NA,3,Saturation_II_3soils_20170617_dwp.seq,7/3/2017 13:56,7/4/2017 10:59,America/Los_Angeles,21.05,FIELD_MOIST_INCUBATION,NA,TRC,Y
DWP,17,field_moist,D17,432.1,NA,5,Saturation_II_3soils_20170617_dwp.seq,7/3/2017 13:56,7/4/2017 10:59,America/Los_Angeles,21.05,FIELD_MOIST_INCUBATION,NA,TRC,NA
DWP,18,field_moist,D18,567.15,NA,7,Saturation_II_3soils_20170617_dwp.seq,7/3/2017 13:56,7/4/2017 10:59,America/Los_Angeles,21.05,FIELD_MOIST_INCUBATION,NA,TRC,NA
DWP,19,field_moist,D19,578.49,NA,8,Saturation_II_3soils_20170617_dwp.seq,7/3/2017 13:56,7/4/2017 10:59,America/Los_Angeles,21.05,FIELD_MOIST_INCUBATION,NA,TRC,NA
